special_info,
start_time,1015.361712
omega,2.0
amplitude,0.0
phase/pi,0.0
time,angle,position,angular_velocity,cart_velocity
0.0,0.0,0.0,0.0,0.0
0.05109400000003461,0.0,0.0,0.0,0.0
0.1022209999999859,0.0,0.0,0.0,0.0
0.15130199999998695,0.0,0.0,0.0,0.0
0.2025499999999738,0.0,0.0,0.0,0.0
0.253804999999943,0.0,0.0,0.0,0.0
0.3050550000000385,0.0,0.0,0.0,0.0
0.35618699999997716,0.0,0.0,0.0,0.0
0.40744199999994635,0.0,0.0,0.0,0.0
0.45869500000003427,0.0,0.0,0.0,0.0
0.5099420000000237,0.0,0.0,0.0,0.0
0.5611949999999979,0.0,0.0,0.0,0.0
0.6124469999999747,0.0,0.0,0.0,0.0
0.6636999999999489,0.0,0.0,0.0,0.0
0.7149500000000444,0.0,0.0,0.0,0.0
0.7662010000000237,0.0,0.0,0.0,0.0
0.8152870000000121,-0.0031,0.0,0.0,0.0
0.866649999999936,-0.0491,0.0,0.0,0.0
0.9180129999999735,-0.1335,0.0,0.0,0.0
0.9693829999999934,-0.2454,0.0,0.0,0.0
1.020693999999935,-0.3973,0.0,0.0,0.0
1.0720479999999952,-0.6013,0.0,0.0,0.0
1.1233989999999494,-0.8207,0.0,0.0,0.0
1.1747520000000122,-1.0738,0.0,0.0,0.0
1.2261029999999664,-1.3116,0.0,0.0,0.0
1.2771319999999378,-1.491,0.0,0.0,0.0
1.3263110000000324,-1.5984,0.0,0.0,0.0
1.3776679999999715,-1.6521,0.0,0.0,0.0
1.4290200000000368,-1.6582,0.0,0.0,0.0
1.4803769999999759,-1.6107,0.0,0.0,0.0
1.5317229999999427,-1.4404,0.0,0.0,0.0
1.5830740000000105,-1.1014,0.0,0.0,0.0
1.6344259999999622,-0.632,0.0,0.0,0.0
1.685779000000025,-0.1503,0.0,0.0,0.0
1.7371269999999868,0.3958,0.0,0.0,0.0
1.7884199999999737,0.8974,0.0,0.0,0.0
1.8397059999999783,1.2395,0.0,0.0,0.0
1.8909979999999678,1.4619,0.0,0.0,0.0
1.942282999999975,1.5539,0.0,0.0,0.0
1.9934899999999516,1.5048,0.0,0.0,0.0
2.044775999999956,1.3223,0.0,0.0,0.0
2.096072999999933,1.0262,0.0,0.0,0.0
2.147369000000026,0.586,0.0,0.0,0.0
2.198617000000013,0.043,0.0,0.0,0.0
2.2499070000000074,-0.4403,0.0,0.0,0.0
2.301260999999954,-0.8943,0.0,0.0,0.0
2.35043799999994,-1.2563,0.0,0.0,0.0
2.401791000000003,-1.4742,0.0,0.0,0.0
2.4531449999999495,-1.5309,0.0,0.0,0.0
2.502277999999933,-1.4496,0.0,0.0,0.0
2.5536329999999907,-1.2118,0.0,0.0,0.0
2.604906000000028,-0.8222,0.0,0.0,0.0
2.6562609999999722,-0.3758,0.0,0.0,0.0
2.705441999999948,0.0813,0.0,0.0,0.0
2.75668799999994,0.6029,0.0,0.0,0.0
2.8079709999999523,1.0155,0.0,0.0,0.0
2.8591370000000325,1.2793,0.0,0.0,0.0
2.9104320000000143,1.4266,0.0,0.0,0.0
2.9617250000000013,1.4389,0.0,0.0,0.0
3.012937999999963,1.3192,0.0,0.0,0.0
