file_name,parent_dir,driving_freq,response_amp,response_amp_err,driving_amp,driving_amp_err,phase,phase_err
auto_freq_scan-11-16-23.csv,19-09-csv,0.9,0.003981261144837993,2.4450679913880102e-05,9.253132983822185,0.016556827133026475,-0.20693600651563518,0.009124482889899295
auto_freq_scan-11-18-23.csv,19-09-csv,0.9,0.010705558824035651,2.6480106380994356e-05,19.305892920208066,0.016366775726909356,-0.18235403924364818,0.00871976862878472
auto_freq_scan-11-20-23.csv,19-09-csv,0.9,0.018506564050485896,2.8383732822686152e-05,29.28748925441192,0.016991752958868397,-0.1526156116220681,0.0073863579550429
auto_freq_scan-11-22-23.csv,19-09-csv,0.9,0.026950187679634852,3.088177771500141e-05,39.30693267523957,0.016143850811003065,-0.12165287467793709,0.006379681945654224
auto_freq_scan-11-24-23.csv,19-09-csv,0.9,0.034906445512318,3.181657022584184e-05,49.24842547662689,0.017409555362370703,-0.11100038828027073,0.008232865595761262
auto_freq_scan-11-26-23.csv,19-09-csv,0.9,0.04181070288020169,3.562071576717309e-05,59.3303098305397,0.017924491910883966,-0.1024812100389927,0.002779317532336539
auto_freq_scan-11-28-23.csv,19-09-csv,0.9,0.051314718661405814,3.175106897002957e-05,69.18798610462578,0.031771189200488575,-0.0993760618699887,0.005282246652420217
auto_freq_scan-11-30-23.csv,19-09-csv,0.9,0.05997283660775275,3.67170821915065e-05,79.1517156001132,0.033770838446513865,-0.08590486144487587,0.008252737108597037
auto_freq_scan-11-32-22.csv,19-09-csv,0.9,0.06845734451483594,3.680376379969645e-05,89.14631770224413,0.030985574053707516,-0.07885135759142488,0.0026109816786453856
auto_freq_scan-11-34-22.csv,19-09-csv,0.9,0.07751653789108638,6.831983332404752e-05,99.167981934274,0.03952377559067327,-0.06303636053889769,0.005357902833504677
auto_freq_scan-11-36-22.csv,19-09-csv,0.9,0.0866757191012251,0.00010374254854135437,109.17066310995193,0.0386059874941924,-0.05462786210314732,0.004789847025903733
auto_freq_scan-11-40-22.csv,19-09-csv,0.9,0.10269471291116972,9.016288142096761e-05,129.16164658925265,0.044241484973180936,-0.05202269938958555,0.002481129463248713
auto_freq_scan-11-42-22.csv,19-09-csv,0.9,0.11041087971123412,8.993986031689319e-05,139.1962597634925,0.045720470757980934,-0.05347242068426326,0.006935139731326464
auto_freq_scan-11-44-22.csv,19-09-csv,0.9,0.1184524681787144,9.787498734250615e-05,149.17011028277267,0.0465334978382856,-0.04971835233983218,0.0034854798519086305
auto_freq_scan-11-46-22.csv,19-09-csv,0.9,0.12610357518177753,7.778512301189296e-05,159.07963813900312,0.05567036018672945,-0.04991427324051764,0.003051142718057852
auto_freq_scan-11-48-22.csv,19-09-csv,0.9,0.1339557916757773,0.00010607476599306532,169.02221241788482,0.06125148135907984,-0.04947664117016481,0.007234510318508117
auto_freq_scan-11-50-22.csv,19-09-csv,0.9,0.14200350169870393,0.00012187947644829208,179.05793182773604,0.060333892713499516,-0.04799199693444685,0.0024354380191684843
auto_freq_scan-11-52-22.csv,19-09-csv,0.9,0.14988443175898125,0.0001278592633868138,189.01071859094358,0.060737128870960555,-0.0449203195175773,0.003180871859062437
auto_freq_scan-11-54-22.csv,19-09-csv,0.9,0.15779864259684448,9.751380114960258e-05,199.00843959000477,0.0655364555508508,-0.043918441038924484,0.0050741778183432135
auto_freq_scan-11-56-21.csv,19-09-csv,0.9210526315789473,0.004239208880622582,2.644670422569247e-05,9.261909964921305,0.015698315875946802,-0.2234121487831053,0.001459753006051846
auto_freq_scan-11-58-21.csv,19-09-csv,0.9210526315789473,0.012013443415288148,2.68627498922213e-05,19.275216019143446,0.015993865155622806,-0.18234795089759384,0.0027816533388353567
auto_freq_scan-12-00-21.csv,19-09-csv,0.9210526315789473,0.02122486925632454,2.8808036646974852e-05,29.282373776713897,0.016234991476790375,-0.1464876454746946,0.0019715160706140727
auto_freq_scan-12-02-21.csv,19-09-csv,0.9210526315789473,0.030454125975962528,3.18790219197951e-05,39.29301563852275,0.016377516392879748,-0.1292545805586529,0.0015031027422754183
auto_freq_scan-12-04-21.csv,19-09-csv,0.9210526315789473,0.039877041160310385,3.2077053133591234e-05,49.252514803776485,0.016699954545890183,-0.10965925814473626,0.0017552459052241785
auto_freq_scan-12-06-21.csv,19-09-csv,0.9210526315789473,0.04944147173730417,3.266847915760442e-05,59.245748398378936,0.018676151647564466,-0.10347247184230068,0.0035182483593791374
auto_freq_scan-12-08-21.csv,19-09-csv,0.9210526315789473,0.05843457713728692,3.518693139937434e-05,69.1907338568418,0.033334798065586216,-0.0940164539093023,0.002327644211114418
auto_freq_scan-12-10-21.csv,19-09-csv,0.9210526315789473,0.06785890753057697,3.653022591373025e-05,79.14573895879191,0.032761654079894655,-0.08130680593680527,0.0037620525941612303
auto_freq_scan-12-12-21.csv,19-09-csv,0.9210526315789473,0.07708499576142581,4.3219884200443685e-05,89.15796561363726,0.03411362898445816,-0.07234076866260851,0.002748667543646428
auto_freq_scan-12-14-21.csv,19-09-csv,0.9210526315789473,0.0877959866206489,7.966080961676422e-05,99.17532379616631,0.039913639423554456,-0.060824899091467634,0.0016205758539831682
auto_freq_scan-12-16-21.csv,19-09-csv,0.9210526315789473,0.09762005939495794,9.16847646791334e-05,109.14314990858117,0.0403080583896101,-0.05553051937534826,0.002416984307624718
auto_freq_scan-12-18-21.csv,19-09-csv,0.9210526315789473,0.10614706480065557,0.00010285058364741366,119.19523583561937,0.03993071897842394,-0.05398442773242582,0.002787120420109627
